ubigeo,district,name,votes,percentage_valid,percentage_total
130101,CHICLAYO,JUNTOS POR EL PERU,45453,27.68,23.574
130102,CHONGOYAPE,ALIANZA PARA EL PROGRESO,2850,29.246,24.88
130103,ETEN,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,2474,33.72,30.89
130104,ETEN PUERTO,MOVIMIENTO REGIONAL CONSTRUYENDO,457,27.025,25.082
130105,LAGUNAS,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1161,23.174,19.752
130106,MONSEFU,ACCION POPULAR,5473,27.102,23.247
130107,NUEVA ARICA,MOVIMIENTO REGIONAL CONSTRUYENDO,463,29.285,26.64
130108,OYOTUN,MOVIMIENTO REGIONAL CONSTRUYENDO,2008,43.929,39.303
130109,PICSI,ACCION POPULAR,1765,36.422,31.003
130110,PIMENTEL,ALIANZA PARA EL PROGRESO,4044,25.09,21.786
130111,REQUE,RENOVACION POPULAR,3493,40.801,35.159
130112,JOSE LEONARDO ORTIZ,JUNTOS POR EL PERU,20665,23.85,19.611
130113,SANTA ROSA,PARTIDO DEMOCRATICO SOMOS PERU,2216,34.092,29.476
130114,SAÃ‘A,PARTIDO DEMOCRATICO SOMOS PERU,1153,23.827,20.775
130115,LA VICTORIA,ALIANZA PARA EL PROGRESO,12436,26.636,22.594
130116,CAYALTI,PARTIDO DEMOCRATICO SOMOS PERU,2960,35.918,30.616
130117,PATAPO,PARTIDO DEMOCRATICO SOMOS PERU,2773,23.85,20.321
130118,POMALCA,PARTIDO POLITICO NACIONAL PERU LIBRE,2194,16.664,13.644
130119,PUCALA,ALIANZA PARA EL PROGRESO,1293,28.913,25.087
130120,TUMAN,ALIANZA PARA EL PROGRESO,4726,32.361,26.421
